Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
3315,1038,1,0.01,0,1.0137760270118714,12450394,0.01,0.0,2,0.0,0,249.23464999999985,UNSAT,,0.056,
3316,1021,5,0.01,0,1.048209272670746,14720598,0.01,0.0,2,0.0,0,249.24464999999984,UNSAT,,0.062,
3317,1039,4,0.04,0,1.0248371589660645,3324628,0.04,0.0,2,0.0,0,249.28464999999983,UNSAT,,0.102,
3318,1040,2,0.01,0,1.0132870901107789,9581452,0.01,0.0,2,0.0,0,249.29464999999982,UNSAT,,0.098,
3319,157,3,0.05,0,5.0,10317607,0.05,0.0,2,0.0,0,249.34464999999983,UNSAT,,0.186,
3320,157,2,0.01,0,5.0,6424738,0.01,0.0,2,0.0,0,249.35464999999982,UNSAT,,0.162,
3321,157,4,0.02,0,5.0,10492404,0.02,0.0,2,0.0,0,249.37464999999983,UNSAT,,0.125,
3322,157,5,0.01,0,5.0,1772859,0.01,0.0,2,0.0,0,249.38464999999982,UNSAT,,0.069,
3323,157,1,0.01,0,5.0,3534901,0.01,0.0,2,0.0,0,249.3946499999998,UNSAT,,0.053,
3324,157,3,0.05,0,5.0,10722876,0.05,0.0,2,0.0,0,249.44464999999983,UNSAT,,0.152,
3325,157,2,0.01,0,5.0,1463789,0.01,0.0,2,0.0,0,249.45464999999982,UNSAT,,0.09,
3326,157,4,0.01,0,5.0,1883550,0.01,0.0,2,0.0,0,249.4646499999998,UNSAT,,0.066,
3327,157,2,0.01,0,5.0,1117923,0.01,0.0,2,0.0,0,249.4746499999998,UNSAT,,0.053,
3328,157,1,0.0,0,5.0,14223331,0.0,0.0,2,0.0,0,249.4746499999998,UNSAT,,0.063,
3329,157,4,0.01,0,5.0,8455278,0.01,0.0,2,0.0,0,249.4846499999998,UNSAT,,0.092,
3330,157,5,0.01,0,5.0,9167619,0.01,0.0,2,0.0,0,249.49464999999978,UNSAT,,0.132,
3331,157,3,0.05,0,5.0,8526872,0.05,0.0,2,0.0,0,249.5446499999998,UNSAT,,0.156,
3332,157,4,0.02,0,5.0,6593971,0.02,0.0,2,0.0,0,249.5646499999998,UNSAT,,0.147,
3333,157,3,0.05,0,5.0,2511645,0.05,0.0,2,0.0,0,249.6146499999998,UNSAT,,0.13,
3334,157,2,0.01,0,5.0,8298648,0.01,0.0,2,0.0,0,249.6246499999998,UNSAT,,0.075,
